size,rank,average_seconds,combination
15000,1,0.54374002,"pares=InsertionSort, impares=SelectionSort, final=QuickSort"
15000,2,0.54385290,"pares=InsertionSort, impares=BubbleSort, final=QuickSort"
15000,3,0.54594709,"pares=SelectionSort, impares=BubbleSort, final=QuickSort"
15000,4,0.54614548,"pares=InsertionSort, impares=MergeSort, final=QuickSort"
15000,5,0.54789662,"pares=MergeSort, impares=BubbleSort, final=QuickSort"
15000,6,0.55256962,"pares=InsertionSort, impares=BubbleSort, final=MergeSort"
15000,7,0.55924040,"pares=InsertionSort, impares=SelectionSort, final=MergeSort"
15000,8,0.56197092,"pares=MergeSort, impares=SelectionSort, final=QuickSort"
15000,9,0.56652753,"pares=SelectionSort, impares=MergeSort, final=QuickSort"
15000,10,0.57201966,"pares=SelectionSort, impares=BubbleSort, final=MergeSort"
15000,11,0.63901236,"pares=SelectionSort, impares=MergeSort, final=InsertionSort"
15000,12,0.63944137,"pares=MergeSort, impares=BubbleSort, final=InsertionSort"
15000,13,0.64328335,"pares=SelectionSort, impares=BubbleSort, final=InsertionSort"
15000,14,0.68813589,"pares=MergeSort, impares=SelectionSort, final=InsertionSort"
16000,1,0.54213328,"pares=InsertionSort, impares=SelectionSort, final=QuickSort"
16000,2,0.54286486,"pares=InsertionSort, impares=BubbleSort, final=QuickSort"
16000,3,0.54319333,"pares=SelectionSort, impares=BubbleSort, final=QuickSort"
16000,4,0.54329574,"pares=InsertionSort, impares=MergeSort, final=QuickSort"
16000,5,0.54408517,"pares=InsertionSort, impares=SelectionSort, final=MergeSort"
16000,6,0.54812703,"pares=InsertionSort, impares=BubbleSort, final=MergeSort"
16000,7,0.54821935,"pares=SelectionSort, impares=BubbleSort, final=MergeSort"
16000,8,0.54844923,"pares=MergeSort, impares=BubbleSort, final=QuickSort"
16000,9,0.55973101,"pares=SelectionSort, impares=MergeSort, final=QuickSort"
16000,10,0.58214951,"pares=MergeSort, impares=SelectionSort, final=QuickSort"
16000,11,0.63176137,"pares=MergeSort, impares=SelectionSort, final=InsertionSort"
16000,12,0.63574174,"pares=MergeSort, impares=BubbleSort, final=InsertionSort"
16000,13,0.63921560,"pares=SelectionSort, impares=MergeSort, final=InsertionSort"
16000,14,0.64000715,"pares=SelectionSort, impares=BubbleSort, final=InsertionSort"
